iter	RMSE
0	1.456963306
1	1.417010429
2	1.381847215
3	1.347944216
4	1.313821825
5	1.283095412
6	1.251384796
7	1.219641057
8	1.193079811
9	1.16507497
10	1.1388877
11	1.116056482
12	1.092026555
13	1.069442218
14	1.052835079
15	1.034237398
16	1.013258511
17	0.9944796035
18	0.9750376412
19	0.9575872372
20	0.9409558442
21	0.926639285
22	0.9104795902
23	0.8947807119
24	0.879647339
25	0.8656413581
26	0.8522998255
27	0.8401101334
28	0.8282542335
29	0.8169489672
30	0.8061909799
31	0.7944975484
32	0.7841872734
33	0.7744264341
34	0.7644043795
35	0.7544796586
36	0.7457000887
37	0.7375031861
38	0.7296511818
39	0.7228027622
40	0.7162638896
41	0.7082829953
42	0.701755375
43	0.694085558
44	0.6873211055
45	0.6809383087
46	0.674540523
47	0.6678447092
48	0.6615824322
49	0.6550390284
50	0.6496895323
51	0.6439626056
52	0.6384216094
53	0.6327364851
54	0.6274136773
55	0.6224519963
56	0.6174500619
57	0.6131013277
58	0.6077205923
59	0.6030773586
60	0.5987874977
61	0.5946497164
62	0.5899719068
63	0.5852412019
64	0.5808664605
65	0.5756778981
66	0.5715662431
67	0.5676255685
68	0.563738006
69	0.5594108532
70	0.556417176
71	0.5525700408
72	0.5500454156
73	0.5472963534
74	0.544048163
75	0.5407049556
76	0.5379717282
77	0.5339495954
78	0.5292915127
79	0.5256058542
80	0.5213751829
81	0.5189865833
82	0.5161032735
83	0.5128587734
84	0.5106744258
85	0.5075559864
86	0.5052707234
87	0.5026578624
88	0.5006273025
89	0.4982569821
90	0.4955332253
91	0.4926428739
92	0.4901897302
93	0.4876979907
94	0.4860131223
95	0.4834403512
96	0.4811093288
97	0.4788125623
98	0.4764300571
99	0.474329235
100	0.4720992301
101	0.4702500812
102	0.468066668
103	0.466080113
104	0.4636778665
105	0.4620407557
106	0.4602644268
107	0.4585318122
108	0.4569101235
109	0.4553989451
110	0.4539633887
111	0.4519295201
112	0.4502304983
113	0.448545988
114	0.4470179036
115	0.4455926695
116	0.4439861372
117	0.4423157617
118	0.4411135813
119	0.439081228
120	0.4376628865
121	0.4361752041
122	0.4348727548
123	0.4338239185
124	0.4323498047
125	0.4310461149
126	0.4296373649
127	0.4281058241
128	0.4270279964
129	0.4255864378
130	0.4244917096
131	0.4233309064
132	0.4220817009
133	0.4208344611
134	0.419718858
135	0.4183862432
136	0.4171689189
137	0.4162472594
138	0.4149900116
139	0.4139561367
140	0.412974733
141	0.4119845295
142	0.4113283421
143	0.4102923939
144	0.4092300742
145	0.4081347429
146	0.4069916217
147	0.4059920907
148	0.4047790901
149	0.4036956177
150	0.4026761116
151	0.4016616192
152	0.4007687283
153	0.399913882
154	0.399025351
155	0.3980267363
156	0.3970371079
157	0.3961218473
158	0.3955169336
159	0.3947063065
160	0.3938960932
161	0.3930585896
162	0.3923783161
163	0.3917116343
164	0.3908115588
165	0.3900629392
166	0.389291124
167	0.3885570225
168	0.3877808738
169	0.3872160636
170	0.3865760075
171	0.3859488234
172	0.3851344164
173	0.3844409566
174	0.383781714
175	0.383166402
176	0.3825424798
177	0.3819342977
178	0.3812523287
179	0.380447502
180	0.37979456
181	0.3791162155
182	0.3784789049
183	0.377764362
184	0.3770836549
185	0.3764430567
186	0.3756294994
187	0.3750469885
188	0.3742868742
189	0.3736106744
190	0.3731054152
191	0.3723207602
192	0.3717637701
193	0.3710468214
194	0.3704095382
195	0.3698700283
196	0.3693851669
197	0.3686970643
198	0.3682450444
199	0.3676359668
200	0.3671251484
201	0.3665641574
202	0.3659814994
203	0.3653678277
204	0.3648552988
205	0.3641862625
206	0.363670535
207	0.3631646276
208	0.3625642081
209	0.3619975756
210	0.3615552637
211	0.3610361409
212	0.3603922576
213	0.3599302042
214	0.3592507762
215	0.3587442319
216	0.3583487472
217	0.3578749487
218	0.357272497
219	0.3567361353
220	0.3562079948
221	0.3555950274
222	0.3552272029
223	0.3547248301
224	0.3543263257
225	0.3539569126
226	0.3532894343
227	0.3527665326
228	0.3522979161
229	0.3517531611
230	0.3513277351
231	0.3507243991
232	0.3502498672
233	0.3498087514
234	0.3492391329
235	0.3488947009
236	0.3484773418
237	0.3480723819
238	0.3476382905
239	0.3471831427
240	0.3468757754
241	0.3465360286
242	0.3460954911
243	0.3455544628
244	0.3450551998
245	0.3447096595
246	0.3442899086
247	0.3438869866
248	0.3434098562
249	0.3430564923
250	0.3426548008
251	0.3423299214
252	0.3420096565
253	0.3415907253
254	0.3412109341
255	0.3408877775
256	0.3404345367
257	0.3400799319
258	0.339793667
259	0.3395167068
260	0.339117804
261	0.3387772938
262	0.3384596008
263	0.3381708896
264	0.3376793649
265	0.3373148225
266	0.3371780428
267	0.3366519027
268	0.3361947169
269	0.3358939804
270	0.3356245721
271	0.3353637102
272	0.3348743921
273	0.3345847572
274	0.3340605643
275	0.3337202206
276	0.3334281143
277	0.3330108355
278	0.332720692
279	0.3324489571
280	0.3321206763
281	0.3317618809
282	0.3315151118
283	0.3312788419
284	0.3307696572
285	0.3303953735
286	0.3300952511
287	0.3296528774
288	0.3292132527
289	0.3288396645
290	0.3286194093
291	0.3283829614
292	0.3282203401
293	0.3278970353
294	0.3277343309
295	0.3276023909
296	0.3275223052
297	0.3271666458
298	0.3267661162
299	0.3264675098
